data,skip,time
16777216,1,0.104161977768
16777216,2,0.0949502786001
16777216,4,0.0954481760661
16777216,8,0.0948108832041
16777216,16,0.0904167493184
16777216,32,0.0840922991435
16777216,64,0.0822712580363
16777216,128,0.0805139541626
16777216,256,0.0803053379059
16777216,512,0.0793765385946
16777216,1024,0.0783536434174
16777216,2048,0.0783621470133
33554432,1,0.195412635803
33554432,2,0.189248482386
33554432,4,0.187105417252
33554432,8,0.183212598165
33554432,16,0.171709855398
33554432,32,0.163484334946
33554432,64,0.156880935033
33554432,128,0.153564294179
33554432,256,0.154325644175
33554432,512,0.152079025904
33554432,1024,0.154260317485
33554432,2048,0.151487747828
67108864,1,0.392249027888
67108864,2,0.371244033178
67108864,4,0.363913297653
67108864,8,0.36262400945
67108864,16,0.338766654332
67108864,32,0.318365017573
67108864,64,0.311395009359
67108864,128,0.304730971654
67108864,256,0.302384297053
67108864,512,0.299868265788
67108864,1024,0.298899650574
67108864,2048,0.297931989034
134217728,1,0.764446973801
134217728,2,0.727373679479
134217728,4,0.728148937225
134217728,8,0.716750065486
134217728,16,0.679902950923
134217728,32,0.644217252731
134217728,64,0.618119637171
134217728,128,0.602082411448
134217728,256,0.603935639064
134217728,512,0.597344319026
134217728,1024,0.593280076981
134217728,2048,0.58838335673
268435456,1,1.53675500552
268435456,2,1.46646396319
268435456,4,1.44202629725
268435456,8,1.43890039126
268435456,16,1.34767238299
268435456,32,1.26854729652
268435456,64,1.21818963687
268435456,128,1.21501596769
268435456,256,1.18691166242
268435456,512,1.18907364209
268435456,1024,1.18422730764
268435456,2048,1.17487494151
536870912,1,3.02889474233
536870912,2,2.85113366445
536870912,4,2.87577501933
536870912,8,2.84263428052
536870912,16,2.67991757393
536870912,32,2.49916831652
536870912,64,2.43219900131
536870912,128,2.39737002055
536870912,256,2.36637941996
536870912,512,2.34617996216
536870912,1024,2.3585507075
536870912,2048,2.31900231043
